"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"23/03/2025";"0000";"25,9";"26,1";"25,9";"73,0";"74,0";"71,0";"20,7";"20,9";"20,3";"1016,4";"1016,5";"1015,9";"0,9";"202,0";"4,1";"";"0,0"
"23/03/2025";"0100";"25,4";"25,9";"25,2";"76,0";"77,0";"73,0";"20,9";"21,0";"20,7";"1016,4";"1016,6";"1016,3";"0,5";"168,0";"4,1";"";"0,0"
"23/03/2025";"0200";"24,9";"25,4";"24,6";"80,0";"81,0";"76,0";"21,3";"21,4";"20,8";"1016,3";"1016,4";"1016,1";"0,7";"252,0";"1,9";"";"0,0"
"23/03/2025";"0300";"24,4";"24,9";"24,4";"82,0";"82,0";"80,0";"21,2";"21,4";"21,1";"1015,7";"1016,3";"1015,7";"0,5";"299,0";"2,2";"";"0,0"
"23/03/2025";"0400";"23,7";"24,4";"23,7";"89,0";"89,0";"82,0";"21,8";"21,8";"21,2";"1015,1";"1015,7";"1015,1";"0,6";"324,0";"1,5";"";"0,0"
"23/03/2025";"0500";"23,6";"23,8";"23,5";"91,0";"91,0";"89,0";"22,1";"22,1";"21,8";"1014,6";"1015,1";"1014,6";"0,5";"11,0";"1,5";"";"0,0"
"23/03/2025";"0600";"24,0";"24,2";"23,5";"92,0";"93,0";"91,0";"22,6";"22,9";"22,0";"1014,4";"1014,7";"1014,4";"0,9";"351,0";"3,7";"";"0,0"
"23/03/2025";"0700";"24,0";"24,0";"23,7";"94,0";"94,0";"92,0";"23,0";"23,0";"22,5";"1014,5";"1014,5";"1014,2";"0,8";"57,0";"2,9";"";"1,0"
"23/03/2025";"0800";"23,8";"24,0";"23,8";"95,0";"95,0";"94,0";"23,0";"23,1";"23,0";"1014,6";"1014,6";"1014,5";"0,4";"17,0";"2,0";"";"0,4"
"23/03/2025";"0900";"24,1";"24,1";"23,8";"97,0";"97,0";"95,0";"23,6";"23,6";"23,0";"1015,3";"1015,3";"1014,6";"0,5";"341,0";"1,1";"2,00";"0,0"
